2L	4884.7558441558	12273.74079666	30	162059
2R	5037.1510691475	13969.923283709	34	396035
3L	5661.2175939412	16691.821301978	52	434040
3R	5922.5070320078	30769.220403984	42	1668526
4	10033.810810811	10657.8896986	68	52074
Unmapped_Scaffold_8	16285	22347.40271262	483	32087
X	7458.1616924821	20206.752687378	29	394148
Y	15218.887323944	49255.227400188	176	248272
dmel_mitochondrion_genome	397.62162162162	499.94835018515	60	1722
rDNA	2213.7368421053	2550.396806645	29	8117
